WinningCards	DiscardedCards:0	DiscardedCards:1	ActionsPlayedWin:0
Guard	11	11	
Baron.opp	3	3	
Baron	7	7	
Baron.opp	6	6	Countess,Priest
Baron.opp	8	8	Guard,Handmaid,Prince
Guard	3	3	
Guard	5	5	Guard,Priest
Baron	9	9	Baron,Priest,Priest,Countess,Guard
Guard	6	6	Guard,Handmaid,Princess
Guard	11	11	Guard,Prince,Countess,Guard,Handmaid,Priest
Baron	2	2	Baron
Baron.opp	6	6	
Baron.opp	8	8	Priest,Priest,Prince
Baron.opp	10	10	
Baron	8	8	
Guard	2	2	
Handmaid.end	10	10	
Countess.end	10	10	Guard,Handmaid,Guard,King
Baron	2	2	Baron
Prince.opp	11	11	
Baron	4	4	
Baron	10	10	Baron,Handmaid,Guard,Priest,Guard,Prince
Baron	8	8	
Guard	3	3	Guard
Baron	9	9	Baron,Priest,Priest,Guard,Countess
Guard	7	7	
Guard	2	2	
Baron	5	5	Baron,Guard
Baron.opp	10	10	King,Prince,Princess,Handmaid,Guard
Baron	4	4	Baron,Guard
Baron	3	3	
Baron.opp	10	10	Prince,Guard,Prince,Princess
Baron	8	8	Baron,Prince,Prince
Baron	8	8	Baron,Priest,Guard,Handmaid
Guard	5	5	
Guard	3	3	Guard
Guard	4	4	Guard,Guard
Baron	2	2	Baron
Guard	5	5	
Baron	4	4	
Baron	2	2	
Baron.opp	9	9	Priest,Prince,Guard,Princess
Baron.opp	4	4	Prince
Baron	8	8	Baron,Handmaid,Guard,Priest
Baron	7	7	
Baron	8	8	
Guard	11	11	
Baron.opp	2	2	
Guard	8	8	
Baron.opp	6	6	Guard,Guard
Baron	3	3	
Prince.opp	11	11	Guard,Prince,Baron,Priest,Guard,Princess
Baron.opp	4	4	Prince
Guard	7	7	Guard,Priest,Prince,Handmaid
Guard	2	2	Guard
Guard	3	3	
Baron	8	8	
Guard	11	11	
Guard	3	3	Guard
Baron.opp	7	7	Princess,Handmaid,Guard
Baron	9	9	Baron,Guard,Priest,Guard
Baron	3	3	
Prince.opp	7	7	
Baron	3	3	Baron
Guard	6	6	
Baron.opp	2	2	
Guard	11	11	
Baron	8	8	Baron,Guard,Handmaid,Princess
Guard	11	11	Guard,Priest,Countess,Priest,Handmaid,Guard
Baron	2	2	Baron
Baron.opp	10	10	
Guard	5	5	Guard,Guard
Baron	3	3	
Baron	10	10	Baron,King,Guard,Prince,Princess
Baron.opp	4	4	Prince
Guard	9	9	Guard,Guard,Handmaid,Prince
Guard.end	10	10	
Baron.opp	2	2	
Baron.opp	9	9	
Baron.opp	6	6	Guard,Guard
Baron	3	3	
Guard	11	11	Guard,Baron,Priest,Guard,Princess
Baron.opp	6	6	Priest,Prince
Guard	7	7	
Guard	11	11	
Guard	11	11	Guard,Guard,King,Guard,Handmaid,Guard
Guard	2	2	Guard
Baron	4	4	Baron,Guard
Baron	2	2	Baron
Baron.opp	10	10	
Baron.opp	6	6	Guard,Guard
Baron	3	3	
Baron.opp	10	10	King,Prince,Guard,Prince,Princess
Baron	3	3	
Baron	7	7	
King.end	10	10	Countess,Baron,Prince,Princess,Handmaid
Guard	6	6	Guard,Countess,Guard
Guard	4	4	Guard,Priest
Guard	2	2	Guard
Baron	10	10	
Guard	5	5	Guard,Guard
Baron	3	3	
Guard	4	4	
Baron	3	3	Baron
Baron.opp	4	4	Prince
Baron	3	3	
Guard	6	6	
Countess.end	10	10	King,Handmaid,Guard,Guard,Prince
Guard	2	2	Guard
Prince.opp	7	7	Prince,Prince,Handmaid
Guard	11	11	Guard,Guard,Priest,Handmaid,Princess
Baron.opp	6	6	
Baron	2	2	
Baron	9	9	Baron,Prince,Guard
Baron	3	3	
King.end	10	10	
Guard	2	2	
Prince.opp	10	10	Prince,Guard,Princess,Priest,Handmaid
Guard	11	11	
Baron	2	2	
Baron	3	3	
Baron.end	10	10	King,Priest,Prince,Princess,Guard
Baron	3	3	
Baron	8	8	Baron,Prince,Guard,Baron
Baron.opp	3	3	Guard
Guard	5	5	
Guard	11	11	Guard,Countess,Guard,Handmaid,Prince,Guard
Baron	6	6	
Guard	8	8	Guard,Handmaid,Guard
Baron	9	9	Baron,Handmaid,Priest,Princess
Baron	5	5	Baron,Prince
Baron.opp	10	10	
Baron	3	3	Baron
Guard	9	9	
Baron.opp	2	2	
Prince.opp	10	10	
Guard	10	10	
Baron	2	2	
Prince.opp	11	11	Countess,Baron,Prince,Priest,Guard,Handmaid
Guard	11	11	Guard,Handmaid,Priest,Handmaid,Princess
Baron	5	5	Baron,Prince
Baron.opp	2	2	
Baron	3	3	Baron
Guard	2	2	Guard
Baron.opp	4	4	Prince
Guard	6	6	Guard,Baron,Handmaid,Prince
Guard	2	2	Guard
King.end	10	10	
Baron.opp	10	10	Countess,Guard,Handmaid,Prince,Guard
Baron.opp	2	2	
Guard	3	3	Guard
Prince.opp	5	5	
Baron.opp	9	9	Priest,Baron,Prince,Guard
Baron	6	6	Baron,King,Guard
Guard	6	6	
Guard	7	7	
Prince.end	10	10	
Baron.opp	10	10	
Baron	2	2	
Baron.opp	9	9	Guard,Handmaid,Guard
Guard	11	11	Guard,Guard,Prince,Priest,Princess,Handmaid
Guard	7	7	Guard,Baron,Prince,Handmaid
Baron	4	4	Baron,Guard
King.end	10	10	Guard,Countess,Handmaid,Baron,Guard,Guard
Baron	5	5	
Baron	6	6	Baron,Baron,Prince
Baron	2	2	Baron
Baron	3	3	
Prince.opp	10	10	Prince,Guard,Princess,Priest,Handmaid
Guard	9	9	
Baron	2	2	
Guard	6	6	Guard,Handmaid
Baron.opp	11	11	
Baron	5	5	
Baron	4	4	
Baron.opp	3	3	
Princess.end	10	10	Prince,Guard,Prince,Countess,Guard
