GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,Barghest Minion 1,Hero 1,Barghest Minion 3,Barghest Minion 2,Hero 3,Hero 2,Hero 4,Goblin Minion 3,Goblin Minion 4,Goblin Minion 1,Goblin Minion 2,Goblin Master,Barghest Master
1617417385,Descent2e,2,ROUND_OVER,191,9,4,30,Barghest minion 1 (3323751) defeated by Tomble Burrowell (3323662),,,,,,,,,,,,
1617417385,Descent2e,3,ROUND_OVER,234,9,4,30,,,,,,,,,,,,,
1617417385,Descent2e,4,GAME_OVER,236,0,4,30,,,,,,,,,,,,,
167221652,Descent2e,0,ROUND_OVER,127,10,4,31,,,,,,,,,,,,,
167221652,Descent2e,1,ROUND_OVER,158,10,4,31,,,,,,,,,,,,,
167221652,Descent2e,2,ROUND_OVER,203,10,4,31,,,,,,,,,,,,,
167221652,Descent2e,3,ROUND_OVER,255,10,4,31,,,,,,,,,,,,,
167221652,Descent2e,4,GAME_OVER,256,0,4,31,,,,,,,,,,,,,
1685666676,Descent2e,0,ROUND_OVER,77,10,4,32,,,,,,,,,,,,,
1685666676,Descent2e,1,ROUND_OVER,150,10,4,32,,,,,,,,,,,,,
1685666676,Descent2e,2,ROUND_OVER,174,10,4,32,,,,,,,,,,,,,
1685666676,Descent2e,3,ROUND_OVER,218,9,4,32,,,,Barghest minion 2 (3594373) defeated by Leoric of the Book (3594289),,,,,,,,,
1685666676,Descent2e,4,GAME_OVER,219,0,4,32,,,,,,,,,,,,,
1184008882,Descent2e,0,ROUND_OVER,99,9,4,33,,,,,,,,,,Goblin Archer minion 1 (3703094) defeated by Jain Fairwood (3703059),,,
1184008882,Descent2e,1,ROUND_OVER,155,9,4,33,Barghest minion 1 (3703134) defeated by Grisban the Thirsty (3703073),,,,,,,,,,,,
1184008882,Descent2e,2,ROUND_OVER,206,9,4,33,,,,,,,,,,,,,
1184008882,Descent2e,3,ROUND_OVER,237,8,4,33,Barghest minion 1 (3703144) defeated by Grisban the Thirsty (3703073),,,,,,,,,,,,
1184008882,Descent2e,4,GAME_OVER,239,0,4,33,,,,,,,,,,,,,
-359467998,Descent2e,0,ROUND_OVER,118,10,4,34,,,,,,,,,,,,,
-359467998,Descent2e,1,ROUND_OVER,150,10,4,34,,,,,,,,,,,,,
-359467998,Descent2e,2,ROUND_OVER,195,10,4,34,,,,,,,,,,,,,
-359467998,Descent2e,3,ROUND_OVER,230,8,4,34,,,,Barghest minion 2 (3839408) defeated by Tomble Burrowell (3839322),,,,,,,,,Barghest master (3839388) defeated by Syndrael (3839309)
-359467998,Descent2e,4,GAME_OVER,231,0,4,34,,,,,,,,,,,,,
965886417,Descent2e,0,ROUND_OVER,114,10,4,35,,,,,,,,,,,,,
965886417,Descent2e,1,ROUND_OVER,144,10,4,35,,,,,,,,,,,,,
965886417,Descent2e,2,ROUND_OVER,195,10,4,35,,,,,,,,,,,,,
965886417,Descent2e,3,ROUND_OVER,234,9,4,35,,,,,,,,,,,,,Barghest master (3953589) defeated by Syndrael (3953511)
965886417,Descent2e,4,GAME_OVER,236,0,4,35,,,,,,,,,,,,,
-33376745,Descent2e,0,ROUND_OVER,123,10,4,36,,,,,,,,,,,,,
-33376745,Descent2e,1,ROUND_OVER,162,10,4,36,,,,,,,,,,,,,
-33376745,Descent2e,2,ROUND_OVER,192,9,4,36,,,,,,,,,,,,,Barghest master (4100048) defeated by Syndrael (4099997)
-33376745,Descent2e,3,ROUND_OVER,224,9,4,36,,,,,,,,,,,,,
-33376745,Descent2e,4,GAME_OVER,225,0,4,36,,,,,,,,,,,,,
1399594587,Descent2e,0,ROUND_OVER,108,10,4,37,,,,,,,,,,,,,
1399594587,Descent2e,1,ROUND_OVER,145,10,4,37,,,,,,,,,,,,,
1399594587,Descent2e,2,ROUND_OVER,186,10,4,37,,,,,,,,,,,,,
1399594587,Descent2e,3,ROUND_OVER,226,10,4,37,,,,,,,,,,,,,
1399594587,Descent2e,4,GAME_OVER,227,0,4,37,,,,,,,,,,,,,
-1240233401,Descent2e,0,ROUND_OVER,108,10,4,38,,,,,,,,,,,,,
-1240233401,Descent2e,1,ROUND_OVER,156,10,4,38,,,,,,,,,,,,,
-1240233401,Descent2e,2,ROUND_OVER,205,10,4,38,,,,,,,,,,,,,
-1240233401,Descent2e,3,ROUND_OVER,244,10,4,38,,Ashrian (4356576) defeated by Barghest minion 2 (4356674),,,,,,,,,,,
-1240233401,Descent2e,4,ROUND_OVER,282,10,4,38,,Ashrian (4356576) defeated by Barghest minion 2 (4356674),,,,,,,,,,,
-1240233401,Descent2e,5,GAME_OVER,284,0,4,38,,,,,,,,,,,,,
-1941664333,Descent2e,0,ROUND_OVER,107,10,4,39,,,,,,,,,,,,,
