GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,WinnerType
-840590086,Descent2e,4,GAME_OVER,213,0,4,237,overlord
1854572159,Descent2e,4,GAME_OVER,246,0,4,238,overlord
-2072968360,Descent2e,5,GAME_OVER,286,0,4,239,overlord
564948201,Descent2e,4,GAME_OVER,234,0,4,240,overlord
242489441,Descent2e,4,GAME_OVER,208,0,4,241,overlord
-2020288483,Descent2e,4,GAME_OVER,208,0,4,242,overlord
1086074626,Descent2e,4,GAME_OVER,227,0,4,243,overlord
-1032405027,Descent2e,4,GAME_OVER,231,0,4,244,overlord
-87541493,Descent2e,4,GAME_OVER,258,0,4,245,overlord
-543934832,Descent2e,4,GAME_OVER,232,0,4,246,overlord
777892406,Descent2e,4,GAME_OVER,215,0,4,247,overlord
873285756,Descent2e,4,GAME_OVER,225,0,4,248,overlord
-1504225346,Descent2e,3,GAME_OVER,191,2,4,249,hero
-351428350,Descent2e,4,GAME_OVER,220,0,4,250,overlord
1460029387,Descent2e,4,GAME_OVER,244,0,4,251,overlord
519422861,Descent2e,4,GAME_OVER,234,0,4,252,overlord
-2020734670,Descent2e,4,GAME_OVER,234,0,4,253,overlord
-1646738913,Descent2e,4,GAME_OVER,269,0,4,254,overlord
1310557033,Descent2e,4,GAME_OVER,253,0,4,255,overlord
-303468140,Descent2e,4,GAME_OVER,225,0,4,256,overlord
-1140332644,Descent2e,4,GAME_OVER,246,0,4,257,overlord
-1033126884,Descent2e,5,GAME_OVER,262,0,4,258,overlord
16992059,Descent2e,4,GAME_OVER,246,0,4,259,overlord
-479990665,Descent2e,5,GAME_OVER,287,0,4,260,overlord
-1249779320,Descent2e,4,GAME_OVER,272,0,4,261,overlord
-750178054,Descent2e,4,GAME_OVER,254,0,4,262,overlord
-1123655453,Descent2e,4,GAME_OVER,207,0,4,263,overlord
2107061092,Descent2e,4,GAME_OVER,240,0,4,264,overlord
-1180556821,Descent2e,4,GAME_OVER,238,0,4,265,overlord
1209010955,Descent2e,4,GAME_OVER,235,0,4,266,overlord
2129887662,Descent2e,4,GAME_OVER,236,0,4,267,overlord
