GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,PlayerName-0,Player-1,Player-0,Player-3,Player-2,PlayerName-1,PlayerName-2,PlayerName-3
873285756,Descent2e,4,GAME_OVER,225,0,4,248,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1504225346,Descent2e,3,GAME_OVER,191,2,4,249,OSLA,17.857142857142858,-17.857142857142858,17.857142857142858,17.857142857142858,OSLA,OSLA,OSLA
-351428350,Descent2e,4,GAME_OVER,220,0,4,250,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1460029387,Descent2e,4,GAME_OVER,244,0,4,251,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
519422861,Descent2e,4,GAME_OVER,234,0,4,252,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-2020734670,Descent2e,4,GAME_OVER,234,0,4,253,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1646738913,Descent2e,4,GAME_OVER,269,0,4,254,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
1310557033,Descent2e,4,GAME_OVER,253,0,4,255,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-303468140,Descent2e,4,GAME_OVER,225,0,4,256,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
-1140332644,Descent2e,4,GAME_OVER,246,0,4,257,OSLA,-16.666666666666668,16.666666666666668,-16.666666666666668,-16.666666666666668,OSLA,OSLA,OSLA
-1033126884,Descent2e,5,GAME_OVER,262,0,4,258,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
16992059,Descent2e,4,GAME_OVER,246,0,4,259,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-479990665,Descent2e,5,GAME_OVER,287,0,4,260,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1249779320,Descent2e,4,GAME_OVER,272,0,4,261,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-750178054,Descent2e,4,GAME_OVER,254,0,4,262,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1123655453,Descent2e,4,GAME_OVER,207,0,4,263,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
2107061092,Descent2e,4,GAME_OVER,240,0,4,264,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-1180556821,Descent2e,4,GAME_OVER,238,0,4,265,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
1209010955,Descent2e,4,GAME_OVER,235,0,4,266,OSLA,-11.666666666666666,11.666666666666666,-11.666666666666666,-11.666666666666666,OSLA,OSLA,OSLA
2129887662,Descent2e,4,GAME_OVER,236,0,4,267,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1321594639,Descent2e,4,GAME_OVER,243,0,4,268,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-1127357064,Descent2e,3,GAME_OVER,179,1,4,269,OSLA,16.42857142857143,-16.42857142857143,16.42857142857143,16.42857142857143,OSLA,OSLA,OSLA
1637927349,Descent2e,4,GAME_OVER,238,0,4,270,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
513738248,Descent2e,4,GAME_OVER,198,0,4,271,OSLA,-8.333333333333332,8.333333333333332,-8.333333333333332,-8.333333333333332,OSLA,OSLA,OSLA
-1286324348,Descent2e,4,GAME_OVER,227,0,4,272,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
-84487886,Descent2e,4,GAME_OVER,250,0,4,273,OSLA,-15.0,15.0,-15.0,-15.0,OSLA,OSLA,OSLA
